"Helység.megnevezése";"IRSZ";"Településrész";"Helység.KSH kódja";"Helység.jogállása";"Megye megnevezése";"Járáskódja";"Járásneve";"Járásszékhelye";"Polgármesteri hivatal, közös önkormányzati hivatal.kódja";"Polgármesteri hivatal, közös önkormányzati hivatal.székhelye";"Terület  (hektár)";"Lakó-népesség";"Lakások száma";"Becsült terület-adatokkal";"Nemzetiségi önkormányzat.bolgár";"Nemzetiségi önkormányzat.görög";"Nemzetiségi önkormányzat.horvát";"Nemzetiségi önkormányzat.lengyel";"Nemzetiségi önkormányzat.német";"Nemzetiségi önkormányzat.örmény";"Nemzetiségi önkormányzat.roma";"Nemzetiségi önkormányzat.román";"Nemzetiségi önkormányzat.ruszin";"Nemzetiségi önkormányzat.szerb";"Nemzetiségi önkormányzat.szlovák";"Nemzetiségi önkormányzat.szlovén";"Nemzetiségi önkormányzat.ukrán"
"Furta";4141;NA;"16993";"község";"Hajdú-Bihar";"094 0";"Berettyóújfalui";"Berettyóújfalu";"2";"Helyben – Locally";4286;1117;583;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Füle";8157;NA;"06114";"község";"Fejér";"085 0";"Székesfehérvári";"Székesfehérvár";"2";"Helyben – Locally";3032;844;403;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fülesd";4964;NA;"10791";"község";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"5";"Kölcse";1505;458;171;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fülöp";4266;NA;"22150";"község";"Hajdú-Bihar";"101 0";"Nyíradonyi";"Nyíradony";"6";"Nyírábrány";5595;1739;719;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fülöpháza";6042;NA;"31468";"község";"Bács-Kiskun";"038 0";"Kecskeméti";"Kecskemét";"5";"Kerekegyháza";4706;820;446;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fülöpjakab";6116;NA;"33622";"község";"Bács-Kiskun";"038 0";"Kecskeméti";"Kecskemét";"6";"Kunszállás";2316;1128;515;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fülöpszállás";6085;NA;"14058";"község";"Bács-Kiskun";"039 0";"Kiskõrösi";"Kiskõrös";"1";"–";9132;2047;1167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fülpösdaróc";4754;NA;"14377";"község";"Szabolcs-Szatmár-Bereg";"154 0";"Mátészalkai";"Mátészalka";"6";"Gyõrtelek";425;334;113;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fürged";7087;NA;"17950";"község";"Tolna";"174 0";"Tamási";"Tamási";"6";"Ozora";2676;692;249;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Füzér";3996;NA;"17109";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"6";"Mikóháza";3749;389;221;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Füzérkajata";3994;NA;"06460";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"6";"Kishuta";1144;98;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Füzérkomlós";3997;NA;"11378";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"6";"Pálháza";587;231;133;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Füzérradvány";3993;NA;"10366";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"5";"Kishuta";981;260;207;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Füzesabony";3390;NA;"03276";"város";"Heves";"105 1";"Füzesabonyi";"Füzesabony";"2";"Helyben – Locally";4634;7360;3132;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Füzesgyarmat";5525;NA;"12256";"város";"Békés";"053 0";"Szeghalmi";"Szeghalom";"1";"–";12734;5527;2401;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Fûzvölgy";8777;NA;"16531";"község";"Zala";"196 0";"Nagykanizsai";"Nagykanizsa";"5";"Hahót";314;128;59;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Gáborján";4122;NA;"18175";"község";"Hajdú-Bihar";"094 0";"Berettyóújfalui";"Berettyóújfalu";"6";"Váncsod";2646;855;375;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Gáborjánháza";8969;NA;"17516";"község";"Zala";"194 0";"Lenti";"Lenti";"6";"Rédics";507;70;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gacsály";4972;NA;"13727";"község";"Szabolcs-Szatmár-Bereg";"150 0";"Fehérgyarmati";"Fehérgyarmat";"5";"Rozsály";1982;969;297;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Gadács";7276;NA;"28264";"község";"Somogy";"143 0";"Kaposvári";"Kaposvár";"6";"Igal";386;94;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gadány";8716;NA;"26222";"község";"Somogy";"144 0";"Marcali";"Marcali";"6";"Mesztegnyõ";1970;335;143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gadna";3815;NA;"05494";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Homrogd";809;287;72;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Gádoros";5932;NA;"09511";"nagyközség";"Békés";"050 0";"Orosházi";"Orosháza";"1";"–";3813;3266;1767;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Gagyapáti";3837;NA;"28732";"község";"Borsod-Abaúj-Zemplén";"056 0";"Encsi";"Encs";"6";"Krasznokvajda";323;22;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gagybátor";3817;NA;"28307";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Selyeb";1877;204;95;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
