"Helység.megnevezése";"IRSZ";"Településrész";"Helység.KSH kódja";"Helység.jogállása";"Megye megnevezése";"Járáskódja";"Járásneve";"Járásszékhelye";"Polgármesteri hivatal, közös önkormányzati hivatal.kódja";"Polgármesteri hivatal, közös önkormányzati hivatal.székhelye";"Terület  (hektár)";"Lakó-népesség";"Lakások száma";"Becsült terület-adatokkal";"Nemzetiségi önkormányzat.bolgár";"Nemzetiségi önkormányzat.görög";"Nemzetiségi önkormányzat.horvát";"Nemzetiségi önkormányzat.lengyel";"Nemzetiségi önkormányzat.német";"Nemzetiségi önkormányzat.örmény";"Nemzetiségi önkormányzat.roma";"Nemzetiségi önkormányzat.román";"Nemzetiségi önkormányzat.ruszin";"Nemzetiségi önkormányzat.szerb";"Nemzetiségi önkormányzat.szlovák";"Nemzetiségi önkormányzat.szlovén";"Nemzetiségi önkormányzat.ukrán"
"Aba";8127;NA;"17376";"város";"Fejér";"085 0";"Székesfehérvári";"Székesfehérvár";"1";"–";8805;4428;1549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abádszalók";5241;NA;"12441";"város";"Jász-Nagykun-Szolnok";"164 0";"Kunhegyesi";"Kunhegyes";"2";"Helyben – Locally";13223;4042;2038;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaliget";7678;NA;"12548";"község";"Baranya";"028 0";"Pécsi";"Pécs";"5";"Orfû";1609;647;241;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abasár";3261;NA;"24554";"község";"Heves";"106 0";"Gyöngyösi";"Gyöngyös";"1";"–";2082;2613;1190;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abaújalpár";3882;NA;"15662";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"6";"Boldogkõváralja";848;49;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abaújkér";3882;NA;"26718";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"6";"Boldogkõváralja";1727;575;291;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaújlak";3815;NA;"02820";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Selyeb";706;69;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abaújszántó";3881;NA;"03595";"város";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"2";"Helyben – Locally";4739;2906;1201;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaújszolnok";3809;NA;"26338";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Selyeb";867;176;59;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Abaújvár";3898;NA;"02273";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"5";"Gönc";735;217;140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abda";9151;NA;"11882";"község";"Gyõr-Moson-Sopron";"087 0";"Gyõri";"Gyõr";"2";"Helyben – Locally";1902;3200;1190;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abod";3753;NA;"10357";"község";"Borsod-Abaúj-Zemplén";"055 0";"Edelényi";"Edelény";"5";"Edelény";3116;174;137;NA;NA;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA
"Abony";2740;NA;"27872";"város";"Pest";"124 0";"Ceglédi";"Cegléd";"1";"–";12797;14277;6011;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ábrahámhegy";8256;NA;"04561";"község";"Veszprém";"189 0";"Tapolcai";"Tapolca";"6";"Badacsonytomaj";1488;425;319;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ács";2941;NA;"04428";"város";"Komárom-Esztergom";"112 0";"Komáromi";"Komárom";"1";"–";10383;6848;2735;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Acsa";2683;NA;"18573";"község";"Pest";"138 0";"Váci";"Vác";"2";"Helyben – Locally";2694;1384;480;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA
"Acsád";9746;NA;"07214";"község";"Vas";"181 0";"Szombathelyi";"Szombathely";"6";"Nemesbõd";1434;679;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acsalag";9168;NA;"33385";"község";"Gyõr-Moson-Sopron";"086 0";"Csornai";"Csorna";"6";"Farád";1042;474;219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ácsteszér";2887;NA;"18139";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"6";"Bakonyszombathely";1771;710;277;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adács";3292;NA;"23241";"község";"Heves";"106 0";"Gyöngyösi";"Gyöngyös";"1";"–";3794;2603;1224;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ádánd";8653;NA;"06080";"község";"Somogy";"146 0";"Siófoki";"Siófok";"2";"Helyben – Locally";2952;2082;852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adásztevel";8561;NA;"07302";"község";"Veszprém";"187 0";"Pápai";"Pápa";"2";"Helyben – Locally";837;759;312;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Adony";2457;NA;"08925";"város";"Fejér";"078 0";"Dunaújvárosi";"Dunaújváros";"2";"Helyben – Locally";6105;3880;1563;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Adorjánháza";8497;NA;"31307";"község";"Veszprém";"186 0";"Devecseri";"Devecser";"6";"Csögle";1142;342;195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adorjás";7841;NA;"06868";"község";"Baranya";"030 0";"Sellyei";"Sellye";"6";"Baksa";810;188;62;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ág";7381;NA;"25812";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"6";"Vásárosdombó";1203;178;65;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ágasegyháza";6076;NA;"17686";"község";"Bács-Kiskun";"038 0";"Kecskeméti";"Kecskemét";"1";"–";5587;1889;862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ágfalva";9423;NA;"04880";"község";"Gyõr-Moson-Sopron";"091 0";"Soproni";"Sopron";"2";"Helyben – Locally";1308;2389;769;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Aggtelek";3759;NA;"09362";"község";"Borsod-Abaúj-Zemplén";"063 0";"Putnoki";"Putnok";"2";"Helyben – Locally";4382;506;241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agyagosszergény";9441;NA;"29407";"község";"Gyõr-Moson-Sopron";"088 0";"Kapuvári";"Kapuvár";"6";"Vitnyéd";1989;945;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ajak";4524;NA;"08776";"város";"Szabolcs-Szatmár-Bereg";"153 0";"Kisvárdai";"Kisvárda";"1";"–";2476;3537;1327;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8400;NA;"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8451;"Padragkút";"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8447;"Ajkarendek";"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Ajka";8448;"Bakonygyepes";"06673";"város";"Veszprém";"183 1";"Ajkai";"Ajka";"2";"Helyben – Locally";9505;27736;12591;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Aka";2862;NA;"06682";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"6";"Császár";1810;262;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Akasztó";6221;NA;"21944";"község";"Bács-Kiskun";"039 0";"Kiskõrösi";"Kiskõrös";"1";"–";6488;3221;1559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alacska";3779;NA;"33093";"község";"Borsod-Abaúj-Zemplén";"058 0";"Kazincbarcikai";"Kazincbarcika";"6";"Berente";856;702;282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alap";7011;NA;"26824";"község";"Fejér";"084 0";"Sárbogárdi";"Sárbogárd";"2";"Helyben – Locally";4829;1833;877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alattyán";5142;NA;"25265";"község";"Jász-Nagykun-Szolnok";"161 0";"Jászapáti";"Jászapáti";"1";"–";3429;1959;912;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Albertirsa";2730;NA;"31653";"város";"Pest";"124 0";"Ceglédi";"Cegléd";"2";"Helyben – Locally";7300;12792;4993;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA
"Alcsútdoboz";8087;NA;"15176";"község";"Fejér";"077 0";"Bicskei";"Bicske";"5";"Felcsút";5071;1453;587;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aldebrõ";3353;NA;"06345";"község";"Heves";"105 0";"Füzesabonyi";"Füzesabony";"5";"Kápolna";2178;719;342;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Algyõ";6750;NA;"34245";"nagyközség";"Csongrád";"075 0";"Szegedi";"Szeged";"1";"–";7577;5274;2091;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alibánfa";8921;NA;"02644";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"6";"Zalaszentiván";584;401;166;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almamellék";7934;NA;"13329";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"6";"Szentlászló";4433;381;153;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Almásfüzitõ";2931;NA;"32346";"község";"Komárom-Esztergom";"112 0";"Komáromi";"Komárom";"1";"–";818;2145;1126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almásháza";8935;NA;"23384";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"6";"Nagykapornak";498;75;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almáskamarás";5747;NA;"29595";"község";"Békés";"049 0";"Mezõkovácsházai";"Mezõkovácsháza";"6";"Kunágota";1471;776;450;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Almáskeresztúr";7932;NA;"20376";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"5";"Mozsgó";1303;75;51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Álmosd";4285;NA;"27641";"község";"Hajdú-Bihar";"101 0";"Nyíradonyi";"Nyíradony";"2";"Helyben – Locally";3413;1657;702;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Alsóberecki";3985;NA;"20482";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"6";"Mikóháza";686;713;283;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsóbogát";7443;NA;"34184";"község";"Somogy";"143 0";"Kaposvári";"Kaposvár";"6";"Somogyjád";1201;215;88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsódobsza";3717;NA;"19664";"község";"Borsod-Abaúj-Zemplén";"066 0";"Szerencsi";"Szerencs";"6";"Megyaszó";1068;274;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsógagy";3837;NA;"14429";"község";"Borsod-Abaúj-Zemplén";"056 0";"Encsi";"Encs";"6";"Szalaszend";628;71;55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsómocsolád";7345;NA;"17385";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"5";"Mágocs";1300;273;140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsónána";7147;NA;"29665";"község";"Tolna";"173 0";"Szekszárdi";"Szekszárd";"6";"Bátaszék";1314;667;282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsónémedi";2351;NA;"23199";"nagyközség";"Pest";"129 0";"Gyáli";"Gyál";"1";"–";4907;5336;2151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsónemesapáti";8924;NA;"19512";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"5";"Nagypáli";1451;669;273;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsónyék";7148;NA;"11563";"község";"Tolna";"173 0";"Szekszárdi";"Szekszárd";"6";"Bátaszék";3201;706;302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsóörs";8226;NA;"30526";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"2";"Helyben – Locally";3334;1846;815;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsópáhok";8394;NA;"32081";"község";"Zala";"193 0";"Keszthelyi";"Keszthely";"2";"Helyben – Locally";1802;1427;666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsópetény";2617;NA;"16425";"község";"Nógrád";"119 0";"Rétsági";"Rétság";"6";"Nézsa";1968;557;301;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Alsórajk";8767;NA;"18829";"község";"Zala";"196 0";"Nagykanizsai";"Nagykanizsa";"6";"Felsõrajk";845;312;169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsóregmec";3989;NA;"23223";"község";"Borsod-Abaúj-Zemplén";"065 0";"Sátoraljaújhelyi";"Sátoraljaújhely";"6";"Mikóháza";1540;188;87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Alsószenterzsébet";8973;NA;"08767";"község";"Zala";"194 0";"Lenti";"Lenti";"6";"Csesztreg";963;35;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsószentiván";7012;NA;"25283";"község";"Fejér";"084 0";"Sárbogárdi";"Sárbogárd";"5";"Alap";3965;613;285;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsószentmárton";7826;NA;"33279";"község";"Baranya";"031 0";"Siklósi";"Siklós";"6";"Siklósnagyfalu";1361;1207;296;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Alsószölnök";9983;NA;"22549";"község";"Vas";"180 0";"Szentgotthárdi";"Szentgotthárd";"2";"Helyben – Locally";1002;337;167;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";NA
"Alsószuha";3726;NA;"28839";"község";"Borsod-Abaúj-Zemplén";"063 0";"Putnoki";"Putnok";"6";"Ragály";2242;406;172;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Alsótelekes";3735;NA;"08217";"község";"Borsod-Abaúj-Zemplén";"058 0";"Kazincbarcikai";"Kazincbarcika";"6";"Rudabánya";644;131;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsótold";3069;NA;"07621";"község";"Nógrád";"118 0";"Pásztói";"Pásztó";"6";"Szurdokpüspöki";786;231;111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsóújlak";9842;NA;"22725";"község";"Vas";"182 0";"Vasvári";"Vasvár";"5";"Kám";2102;577;289;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsóvadász";3811;NA;"29814";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"6";"Aszaló";2290;1454;447;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Alsózsolca";3571;NA;"21032";"város";"Borsod-Abaúj-Zemplén";"061 0";"Miskolci";"Miskolc";"1";"–";2602;5619;1836;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ambrózfalva";6916;NA;"16197";"község";"Csongrád";"073 0";"Makói";"Makó";"5";"Csanádalberti";1122;462;237;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Anarcs";4546;NA;"29975";"község";"Szabolcs-Szatmár-Bereg";"153 0";"Kisvárdai";"Kisvárda";"5";"Gyulaháza";1706;1930;660;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Andocs";8675;NA;"28714";"község";"Somogy";"147 0";"Tabi";"Tab";"2";"Helyben – Locally";4327;1002;467;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Andornaktálya";3399;NA;"17987";"község";"Heves";"104 0";"Egri";"Eger";"1";"–";1675;2570;1063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Andrásfa";9811;NA;"12317";"község";"Vas";"182 0";"Vasvári";"Vasvár";"5";"Kám";823;224;138;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Annavölgy";2529;NA;"34227";"község";"Komárom-Esztergom";"110 0";"Esztergomi";"Esztergom";"6";"Csolnok";483;919;399;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apácatorna";8477;NA;"28370";"község";"Veszprém";"186 0";"Devecseri";"Devecser";"6";"Tüskevár";729;137;84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apagy";4553;NA;"20303";"község";"Szabolcs-Szatmár-Bereg";"157 0";"Nyíregyházi";"Nyíregyháza";"1";"–";3199;2361;873;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apaj";2345;NA;"33561";"község";"Pest";"134 0";"Ráckevei";"Ráckeve";"6";"Áporka";7104;1154;430;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aparhant";7186;NA;"26125";"község";"Tolna";"170 0";"Bonyhádi";"Bonyhád";"6";"Kakasd";1797;971;385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apátfalva";6931;NA;"14252";"község";"Csongrád";"073 0";"Makói";"Makó";"1";"–";5378;2828;1541;NA;NA;NA;NA;NA;NA;NA;"1";"1";NA;NA;NA;NA;NA
"Apátistvánfalva";9982;NA;"08873";"község";"Vas";"180 0";"Szentgotthárdi";"Szentgotthárd";"6";"Szentgotthárd";1286;380;164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA
"Apátvarasd";7720;NA;"27298";"község";"Baranya";"029 0";"Pécsváradi";"Pécsvárad";"6";"Pécsvárad";814;112;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apc";3032;NA;"07241";"község";"Heves";"107 0";"Hatvani";"Hatvan";"1";"–";2046;2466;1101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Áporka";2338;NA;"10108";"község";"Pest";"134 0";"Ráckevei";"Ráckeve";"2";"Helyben – Locally";1747;1167;498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apostag";6088;NA;"21148";"község";"Bács-Kiskun";"043 0";"Kunszentmiklósi";"Kunszentmiklós";"2";"Helyben – Locally";3194;1995;965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aranyosapáti";4634;NA;"09353";"község";"Szabolcs-Szatmár-Bereg";"159 0";"Vásárosnaményi";"Vásárosnamény";"2";"Helyben – Locally";2111;2091;674;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Aranyosgadány";7671;NA;"06886";"község";"Baranya";"028 0";"Pécsi";"Pécs";"6";"Pellérd";826;323;138;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Arka";3885;NA;"26198";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"6";"Boldogkõváralja";949;61;66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arló";3663;NA;"14331";"nagyközség";"Borsod-Abaúj-Zemplén";"062 0";"Ózdi";"Ózd";"1";"–";4687;3521;1118;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Arnót";3713;NA;"03771";"község";"Borsod-Abaúj-Zemplén";"061 0";"Miskolci";"Miskolc";"1";"–";1754;2298;827;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ároktõ";3467;NA;"03823";"község";"Borsod-Abaúj-Zemplén";"059 0";"Mezõcsáti";"Mezõcsát";"5";"Mezõcsát";4641;1109;478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Árpádhalom";6623;NA;"19062";"község";"Csongrád";"076 0";"Szentesi";"Szentes";"6";"Nagymágocs";4520;483;241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Árpás";9132;NA;"32249";"község";"Gyõr-Moson-Sopron";"092 0";"Téti";"Tét";"6";"Gyarmat";1426;242;129;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ártánd";4115;NA;"03319";"község";"Hajdú-Bihar";"094 0";"Berettyóújfalui";"Berettyóújfalu";"6";"Biharkeresztes";1981;558;247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ásotthalom";6783;NA;"10339";"nagyközség";"Csongrád";"074 0";"Mórahalmi";"Mórahalom";"1";"–";12254;3795;1935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ásványráró";9177;NA;"26921";"község";"Gyõr-Moson-Sopron";"089 0";"Mosonmagyaróvári";"Mosonmagyaróvár";"6";"Kimle";3911;2023;813;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aszaló";3841;NA;"04233";"község";"Borsod-Abaúj-Zemplén";"067 0";"Szikszói";"Szikszó";"2";"Helyben – Locally";2536;1831;631;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ászár";2881;NA;"23852";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"2";"Helyben – Locally";1868;1694;674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aszód";2170;NA;"16188";"város";"Pest";"122 1";"Aszódi";"Aszód";"1";"–";1620;6201;2491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aszófõ";8241;NA;"07339";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"6";"Tihany";832;400;197;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Áta";7763;NA;"28583";"község";"Baranya";"028 0";"Pécsi";"Pécs";"6";"Pécsudvard";809;159;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Átány";3371;NA;"06503";"község";"Heves";"108 0";"Hevesi";"Heves";"2";"Helyben – Locally";5044;1450;574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Atkár";3213;NA;"16090";"község";"Heves";"106 0";"Gyöngyösi";"Gyöngyös";"6";"Visonta";3376;1716;730;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Attala";7252;NA;"32735";"község";"Tolna";"171 0";"Dombóvári";"Dombóvár";"2";"Helyben – Locally";2064;744;363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Babarc";7757;NA;"05403";"község";"Baranya";"024 0";"Bólyi";"Bóly";"2";"Helyben – Locally";1885;723;316;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Babarcszõlõs";7814;NA;"09663";"község";"Baranya";"031 0";"Siklósi";"Siklós";"6";"Diósviszló";425;78;61;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Babócsa";7584;NA;"30474";"község";"Somogy";"140 0";"Barcsi";"Barcs";"2";"Helyben – Locally";3099;1462;700;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bábolna";2943;NA;"19363";"város";"Komárom-Esztergom";"112 0";"Komáromi";"Komárom";"2";"Helyben – Locally";3355;3860;1394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bábonymegyer";8658;NA;"28316";"község";"Somogy";"147 0";"Tabi";"Tab";"6";"Tab";2193;764;362;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Babosdöbréte";8983;NA;"21263";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"6";"Zalaszentgyörgy";1252;475;230;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Babót";9351;NA;"15042";"község";"Gyõr-Moson-Sopron";"088 0";"Kapuvári";"Kapuvár";"2";"Helyben – Locally";2167;1152;478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bácsalmás";6430;NA;"10719";"város";"Bács-Kiskun";"034 1";"Bácsalmási";"Bácsalmás";"2";"Helyben – Locally";10832;6379;3132;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Bácsbokod";6453;NA;"10180";"nagyközség";"Bács-Kiskun";"034 0";"Bácsalmási";"Bácsalmás";"1";"–";6393;2429;1218;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bácsborsód";6454;NA;"27234";"község";"Bács-Kiskun";"034 0";"Bácsalmási";"Bácsalmás";"6";"Katymár";7752;1073;415;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bácsszentgyörgy";6511;NA;"08697";"község";"Bács-Kiskun";"035 0";"Bajai";"Baja";"6";"Gara";1474;144;96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
